n,Time(ns)
100,7535600
200,12906600
300,15838700
400,23364100
500,28714800
600,33617200
700,35494400
800,41584700
900,52030700
1000,50641300
1100,56739900
1200,62614100
1300,77390800
1400,84341000
1500,88382000
1600,95000300
1700,103146900
1800,85042300
1900,82700500
2000,92750200
2100,81368300
2200,88497300
2300,88632100
2400,91063300
2500,91477700
2600,95435700
2700,96073400
2800,98114100
2900,99405800
3000,101786700
3100,101301200
3200,108363300
3300,114841100
3400,117822200
3500,117787100
3600,118896100
3700,126775500
3800,123380700
3900,111616300
4000,113197700
4100,121716800
4200,118814500
4300,121904300
4400,120657300
4500,122915200
4600,124283700
4700,126944100
4800,128303000
4900,131497400
5000,132098100
5100,133329900
5200,133708500
5300,137520400
5400,137980200
5500,140705400
5600,143186600
5700,144918600
5800,144294200
5900,148355000
6000,148764400
6100,149574700
6200,152215600
6300,155376100
6400,155176000
6500,157348300
6600,159917400
6700,161128000
6800,163870200
6900,165944100
7000,166096600
7100,165315300
7200,170279700
7300,169393100
7400,172187000
7500,177434700
7600,170545500
7700,178240500
7800,181359200
7900,179070500
8000,179536600
8100,186010200
8200,185007600
8300,186526500
8400,190280200
8500,189078900
8600,191527500
8700,195908700
8800,194629100
8900,201249000
9000,200372700
9100,213290500
9200,215894000
9300,214407200
9400,217446600
9500,221824800
9600,222231700
9700,223638500
9800,224041400
9900,228797500
10000,235196600
10100,237040900
10200,236725000
10300,237191500
10400,242710700
10500,315143100
10600,315163000
10700,287219700
10800,251740500
10900,269620200
11000,284832300
11100,282656000
11200,275634100
11300,286459200
11400,287378600
11500,292153800
11600,289275300
11700,293034100
11800,299274900
11900,315793600
12000,299609700
12100,301294300
12200,281291100
12300,266853000
12400,271269100
12500,272834100
12600,378458500
12700,517397200
12800,1138898000
12900,658509500
13000,507829400
13100,437690700
13200,351919200
13300,360806300
13400,347007600
13500,409815700
13600,496920000
13700,698091100
13800,535767200
13900,362651800
14000,397477400
14100,453839100
14200,442217400
14300,643222000
14400,485903100
14500,477438100
14600,737556000
14700,751337000
14800,579151100
14900,664059600
15000,615157800
15100,515234700
15200,471786200
15300,545885500
15400,498772700
15500,541265100
15600,538462000
15700,658432800
15800,612285100
15900,668878500
16000,672896000
16100,665324700
16200,654106600
16300,810840000
16400,605729400
16500,578809600
16600,674808900
16700,692439100
16800,732049300
16900,601502500
17000,805104300
17100,669243700
17200,550805900
17300,706473900
17400,755275700
17500,549950600
17600,501423900
17700,440864800
17800,490265100
17900,466876700
18000,445177500
18100,511087600
18200,470284800
18300,555471300
18400,561426200
18500,536107900
18600,492827900
18700,452035300
18800,463982600
18900,485258200
19000,482356300
19100,562949600
19200,490647800
19300,452785200
19400,450051100
19500,453926200
19600,550779000
