n,Time(ns)
100,22942500
200,16317100
300,15779600
400,17487300
500,22835600
600,28368400
700,33345300
800,38176600
900,43669900
1000,48609400
1100,52405200
1200,58007500
1300,63753100
1400,72552900
1500,87479800
1600,99981200
1700,110179700
1800,111210000
1900,115055500
2000,119398500
2100,118633500
2200,119693000
2300,106704400
2400,96259000
2500,97581000
2600,99236600
2700,101006600
2800,102843300
2900,107538900
3000,98948100
3100,103292500
3200,106149400
3300,107923300
3400,108720600
3500,111396700
3600,112519500
3700,114718500
3800,115177000
3900,118222000
4000,119446200
4100,122815600
4200,123663200
4300,123448400
4400,126114000
4500,126860600
4600,128674000
4700,133161000
4800,134536200
4900,136255100
5000,137886600
5100,138928300
5200,140960600
5300,142380900
5400,144321800
5500,147916600
5600,146275600
5700,150644400
5800,150251200
5900,153017300
6000,160962800
6100,163344000
6200,160618300
6300,160161600
6400,159646500
6500,161412300
6600,163108300
6700,165960900
6800,168608300
6900,168341500
7000,170502100
7100,173176800
7200,174359900
7300,176960900
7400,178985600
7500,178615100
7600,180554600
7700,183938100
7800,185239900
7900,188307100
8000,188954200
8100,189667100
8200,193101200
8300,194056800
8400,195337300
8500,198452000
8600,199090700
8700,199467900
8800,204786200
8900,206119800
9000,209866100
9100,208008000
9200,208458500
9300,209254800
9400,213095900
9500,212757700
9600,214355800
9700,240601900
9800,251322600
9900,246325400
10000,249979000
10100,226591300
10200,223653300
10300,228667900
10400,227939400
10500,231485800
10600,234002700
10700,238005900
10800,237895700
10900,240651600
11000,244315000
11100,245910000
11200,246229900
11300,247136800
11400,250078100
11500,258412700
11600,258961500
11700,255846200
11800,262458000
11900,260879400
12000,261297900
12100,262310800
12200,261839000
12300,266529700
12400,268059100
12500,266603300
12600,277771900
12700,285751800
12800,283367200
12900,286664300
13000,289959900
13100,288937400
13200,302262000
13300,305750000
13400,313262900
13500,307821000
13600,315076000
13700,338799900
13800,339886600
13900,334935900
14000,342448300
14100,343299600
14200,349204300
14300,350897500
14400,346002700
14500,353903900
14600,352354800
14700,350324400
14800,358668200
14900,358050300
15000,360010900
15100,361163300
15200,378967200
15300,394366800
15400,371350300
15500,381782300
15600,375501900
15700,379156900
15800,378806700
15900,377422900
16000,376503000
16100,382113900
16200,389075300
16300,388598700
16400,391696900
16500,394846800
16600,397443600
16700,407851100
16800,397437900
16900,403913900
17000,406331200
17100,412915100
17200,405174100
17300,353465300
17400,367128300
17500,368497000
17600,369588700
17700,372433100
17800,373773100
17900,375898500
18000,377441600
18100,379277700
18200,378571600
18300,386055800
18400,385399100
18500,376137900
18600,370882600
18700,373645200
18800,374323700
18900,376672300
19000,389881300
19100,391696800
19200,390694800
19300,394085400
19400,415232300
19500,435668600
19600,402265800
